Experiment,ROUGE,BLEU,METEOR,BERTScore,FKGL,DCRS,CLI,LENS,AlignScore,SummaC
1,0.34686274485901986,8.638187122798731,0.2978105884713106,0.8534419225974821,16.947183098591548,10.917640845070423,17.21200704225352,57.692236534967606,0.8800538769910033,0.7471055940423214
2,0.28819920284050915,4.5265074168379815,0.2442802838208012,0.8405676253244911,15.51619718309859,11.423978873239436,17.09887323943662,36.20606247290251,0.8231844989136912,0.5811862256115591
3,0.2884551269516967,5.002780331647182,0.2254994031001698,0.8472645998420849,15.277112676056339,11.730246478873239,16.630845070422534,47.98780178410868,0.8400675947187652,0.6443938776640825
4,0.2732293009731113,4.382554311600842,0.21323787607676986,0.8450571720449018,15.967605633802817,12.192042253521127,17.701619718309857,48.422674097612514,0.8413263429218615,0.628784529864788
5,0.3032749186721435,5.115690638092883,0.26451282405588994,0.8431336111585859,17.678521126760565,11.25404929577465,18.79598591549296,43.96276121173045,0.8296949414300248,0.568262457952533
7,0.1925503232365231,1.4937267405374384,0.1395901716575499,0.8337908983230591,16.42359154929578,14.224084507042255,19.706408450704227,40.66069210376588,0.6859940762408603,0.5315000315157461
8,0.2583149097103192,3.5618616177503295,0.24953151966713272,0.8297320906545075,14.460563380281691,11.074260563380282,15.931549295774648,28.672824759466486,0.7833998942039382,0.5205582089617219
10,0.2827448534890518,4.436211946083511,0.2593207679969778,0.835086325314683,15.045774647887324,10.940809859154932,16.72799295774648,26.127493300192207,0.8203515166967688,0.5756171248118642
11,0.27224857132640823,3.939588280741093,0.2593794592466395,0.8322810555847597,15.042957746478873,11.003767605633804,16.882781690140845,21.901249897125208,0.8215439188438403,0.581941872520346
12,0.29785359296997554,4.787152725803465,0.24962412851900206,0.844145375658089,14.667605633802818,10.993732394366198,16.21176056338028,46.124645715982126,0.8006945832724303,0.5813844089566822
13,0.30022390121386344,4.719852768933598,0.25630066237931215,0.8443718453947927,13.625352112676056,10.491443661971832,15.37450704225352,48.85205452066958,0.7893463603522576,0.5757959142956935
14,0.2984548369958837,4.6963212991550565,0.2498919066599589,0.845748621183382,12.996478873239436,10.317147887323944,14.569436619718308,53.33928458846367,0.7646392258540006,0.5703824132051266
15,0.3357091860681974,7.427465486021296,0.29831397454611697,0.8475645707106927,20.369014084507043,10.729225352112676,17.557957746478873,59.37244667642844,0.8242202665604337,0.6304279265689179
16,0.3418050532661855,7.544444464707756,0.3045827201602725,0.8507278018014532,17.978169014084507,10.574894366197181,17.227640845070425,62.057279883023504,0.8120886827228775,0.6130392027782723
17,0.34287616844041113,7.382863450502919,0.3027788241499981,0.852408574080803,17.146478873239438,10.171725352112677,16.329225352112676,67.1100451349399,0.7633899112402553,0.5728476498748215
18,0.137117628721185,0.40548710095679263,0.12020905393622716,0.8052016975174487,12.359859154929577,11.058204225352114,15.688802816901408,71.40214400440534,0.3423059867878615,0.43824519479358703
19,0.3411279439642486,7.513661379383357,0.29816901196588463,0.8516443932140377,17.169718309859153,10.820704225352113,17.474260563380284,58.604898998036845,0.851612320563323,0.6698291337406133
20,0.3128387101466167,5.5456462159476985,0.2999127586480579,0.8362405782854053,18.471830985915496,10.254507042253522,18.203978873239436,49.810537906049035,0.5114615054302653,0.5656087494022409
21,0.2825873003490075,3.7282052024677057,0.2673838782114304,0.8302736389385144,17.43556338028169,10.593978873239436,17.813591549295772,33.75871335985191,0.5136159436226311,0.5235829031173612
22,0.29180066374771363,3.9624187015783443,0.2075593781225331,0.8535849000786392,17.577112676056338,12.184683098591549,18.978415492957744,66.30738319870073,0.8047254816956924,0.511836698357488
23,0.2542500722017034,2.2706950238605312,0.17086984902112384,0.8544240810081992,14.757394366197182,11.796232394366196,16.953767605633804,74.91939102966012,0.7850103837923265,0.5179505482525892
24,0.32069046339291857,5.442784604081423,0.25318915138957493,0.8554332430513811,12.27887323943662,9.506549295774647,13.383274647887323,80.45908498085785,0.6753871409406125,0.5210246809981238
25,0.2590458092178052,2.3064496545694912,0.1723284589398939,0.8544929592122494,14.658450704225352,11.64725352112676,16.835281690140846,74.92244447938123,0.7899259501989458,0.5287305632947197
