loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.6018,0.4047311246395111,9.667896678966791e-06,0.03679852805887764,10,,,,,
2.5847,0.5099647641181946,9.29889298892989e-06,0.07359705611775529,20,,,,,
2.5594,0.6045084595680237,8.92988929889299e-06,0.11039558417663294,30,,,,,
2.4876,0.6366647481918335,8.560885608856089e-06,0.14719411223551057,40,,,,,
2.4836,0.6332217454910278,8.19188191881919e-06,0.18399264029438822,50,,,,,
2.4288,0.5988937020301819,7.822878228782289e-06,0.22079116835326587,60,,,,,
2.3675,0.5401358008384705,7.453874538745388e-06,0.2575896964121435,70,,,,,
2.3513,0.5355271100997925,7.084870848708487e-06,0.29438822447102114,80,,,,,
2.3328,0.46361827850341797,6.715867158671587e-06,0.3311867525298988,90,,,,,
2.3045,0.38381677865982056,6.346863468634686e-06,0.36798528058877644,100,,,,,
2.2937,0.33667412400245667,5.977859778597786e-06,0.4047838086476541,110,,,,,
2.3019,0.3369594216346741,5.6088560885608855e-06,0.44158233670653174,120,,,,,
2.2926,0.3088405728340149,5.2398523985239855e-06,0.47838086476540936,130,,,,,
2.2573,0.27320224046707153,4.8708487084870856e-06,0.515179392824287,140,,,,,
2.2564,0.2861921787261963,4.501845018450185e-06,0.5519779208831647,150,,,,,
2.2551,0.2842343747615814,4.132841328413285e-06,0.5887764489420423,160,,,,,
2.2346,0.27364715933799744,3.763837638376384e-06,0.62557497700092,170,,,,,
2.2172,0.261093407869339,3.3948339483394836e-06,0.6623735050597976,180,,,,,
2.2254,0.2666972577571869,3.0258302583025832e-06,0.6991720331186753,190,,,,,
2.2351,0.2681411802768707,2.656826568265683e-06,0.7359705611775529,200,,,,,
2.2182,0.28359732031822205,2.2878228782287825e-06,0.7727690892364305,210,,,,,
2.2075,0.26322561502456665,1.918819188191882e-06,0.8095676172953082,220,,,,,
2.2155,0.27094268798828125,1.5498154981549817e-06,0.8463661453541859,230,,,,,
2.1944,0.2741398811340332,1.1808118081180813e-06,0.8831646734130635,240,,,,,
2.1934,0.2673089802265167,8.118081180811808e-07,0.9199632014719411,250,,,,,
2.1969,0.26203233003616333,4.4280442804428044e-07,0.9567617295308187,260,,,,,
2.1964,0.28236618638038635,7.380073800738008e-08,0.9935602575896965,270,,,,,
,,,0.9972401103955841,271,429.0014,10.131,0.632,2.392265292125307e+17,2.3142690482614663
