loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.4292,0.2820394039154053,9.983844911147012e-06,0.0016155088852988692,10,,,,,,,,,
2.4041,0.399732381105423,9.967689822294023e-06,0.0032310177705977385,20,,,,,,,,,
2.4093,0.4126456081867218,9.951534733441036e-06,0.004846526655896607,30,,,,,,,,,
2.3484,0.4222482740879059,9.935379644588045e-06,0.006462035541195477,40,,,,,,,,,
2.3268,0.4037216305732727,9.919224555735058e-06,0.008077544426494346,50,,,,,,,,,
2.2945,0.34211963415145874,9.903069466882069e-06,0.009693053311793215,60,,,,,,,,,
2.2122,0.31722742319107056,9.88691437802908e-06,0.011308562197092083,70,,,,,,,,,
2.2048,0.2648533582687378,9.870759289176091e-06,0.012924071082390954,80,,,,,,,,,
2.1889,0.25012966990470886,9.854604200323102e-06,0.014539579967689823,90,,,,,,,,,
2.1936,0.20017080008983612,9.838449111470115e-06,0.01615508885298869,100,,,,,,,,,
2.2086,0.20348137617111206,9.822294022617124e-06,0.017770597738287562,110,,,,,,,,,
2.1336,0.2155214548110962,9.806138933764137e-06,0.01938610662358643,120,,,,,,,,,
2.1769,0.1993393748998642,9.789983844911148e-06,0.0210016155088853,130,,,,,,,,,
2.1618,0.1952749639749527,9.773828756058159e-06,0.022617124394184167,140,,,,,,,,,
2.1449,0.2088485062122345,9.75767366720517e-06,0.024232633279483037,150,,,,,,,,,
2.1322,0.20727188885211945,9.741518578352181e-06,0.025848142164781908,160,,,,,,,,,
2.049,0.20617210865020752,9.725363489499194e-06,0.027463651050080775,170,,,,,,,,,
2.1082,0.2223336547613144,9.709208400646203e-06,0.029079159935379646,180,,,,,,,,,
2.0338,0.24166768789291382,9.693053311793216e-06,0.030694668820678513,190,,,,,,,,,
2.0498,0.2611609995365143,9.676898222940227e-06,0.03231017770597738,200,,,,,,,,,
1.9977,0.3060714602470398,9.660743134087238e-06,0.033925686591276254,210,,,,,,,,,
2.018,0.25929325819015503,9.64458804523425e-06,0.035541195476575124,220,,,,,,,,,
2.0103,0.3103068172931671,9.62843295638126e-06,0.03715670436187399,230,,,,,,,,,
2.0144,0.36633655428886414,9.612277867528273e-06,0.03877221324717286,240,,,,,,,,,
1.972,0.3933534026145935,9.596122778675282e-06,0.04038772213247173,250,,,,,,,,,
1.9447,0.36848682165145874,9.579967689822295e-06,0.0420032310177706,260,,,,,,,,,
1.8915,0.33875328302383423,9.563812600969306e-06,0.04361873990306947,270,,,,,,,,,
1.7952,0.3594335913658142,9.547657512116317e-06,0.045234248788368334,280,,,,,,,,,
1.7887,0.38681524991989136,9.531502423263328e-06,0.046849757673667204,290,,,,,,,,,
1.8381,0.3218790590763092,9.51534733441034e-06,0.048465266558966075,300,,,,,,,,,
1.7959,0.2738235890865326,9.499192245557352e-06,0.050080775444264945,310,,,,,,,,,
1.8068,0.28904399275779724,9.483037156704361e-06,0.051696284329563816,320,,,,,,,,,
1.8008,0.3068072199821472,9.466882067851374e-06,0.05331179321486268,330,,,,,,,,,
