loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.282,0.4357607364654541,0.00019989235157974057,0.001614661122996811,10,,,,,,,,,
1.9032,0.45450013875961304,0.00019978470315948116,0.003229322245993622,20,,,,,,,,,
1.7197,0.3171404004096985,0.00019967705473922172,0.004843983368990433,30,,,,,,,,,
1.6539,0.27895089983940125,0.00019956940631896228,0.006458644491987244,40,,,,,,,,,
1.6488,0.2696644961833954,0.00019946175789870284,0.008073305614984054,50,,,,,,,,,
1.6598,0.305860310792923,0.00019935410947844343,0.009687966737980867,60,,,,,,,,,
1.5831,0.3112547993659973,0.000199246461058184,0.011302627860977677,70,,,,,,,,,
1.6204,0.2681412994861603,0.00019913881263792455,0.012917288983974488,80,,,,,,,,,
1.5847,0.2697298526763916,0.00019903116421766511,0.0145319501069713,90,,,,,,,,,
1.6393,0.3115648627281189,0.0001989235157974057,0.01614661122996811,100,,,,,,,,,
1.6115,0.28745752573013306,0.00019881586737714626,0.017761272352964923,110,,,,,,,,,
1.635,0.28326478600502014,0.00019870821895688682,0.019375933475961733,120,,,,,,,,,
1.6183,0.2993023991584778,0.00019860057053662739,0.020990594598958544,130,,,,,,,,,
1.6164,0.2683713138103485,0.00019849292211636795,0.022605255721955354,140,,,,,,,,,
1.6184,0.2931687533855438,0.0001983852736961085,0.024219916844952165,150,,,,,,,,,
1.6194,0.2758379578590393,0.00019827762527584907,0.025834577967948975,160,,,,,,,,,
1.5992,0.2557441294193268,0.00019816997685558966,0.02744923909094579,170,,,,,,,,,
1.5078,0.29253339767456055,0.00019806232843533022,0.0290639002139426,180,,,,,,,,,
1.6678,0.24069729447364807,0.00019795468001507078,0.03067856133693941,190,,,,,,,,,
1.5858,0.25683191418647766,0.00019784703159481134,0.03229322245993622,200,,,,,,,,,
1.6201,0.27122795581817627,0.00019773938317455193,0.033907883582933035,210,,,,,,,,,
1.5838,0.24760285019874573,0.0001976317347542925,0.035522544705929845,220,,,,,,,,,
1.636,0.28293630480766296,0.00019752408633403305,0.037137205828926656,230,,,,,,,,,
1.658,0.24189142882823944,0.0001974164379137736,0.03875186695192347,240,,,,,,,,,
1.5986,0.27979639172554016,0.0001973087894935142,0.04036652807492028,250,,,,,,,,,
1.5795,0.27607664465904236,0.00019720114107325476,0.04198118919791709,260,,,,,,,,,
1.5913,0.2978651225566864,0.00019709349265299532,0.0435958503209139,270,,,,,,,,,
1.604,0.2802278697490692,0.00019698584423273588,0.04521051144391071,280,,,,,,,,,
1.6082,0.2600169777870178,0.00019687819581247647,0.04682517256690752,290,,,,,,,,,
1.5975,0.2814408242702484,0.00019677054739221703,0.04843983368990433,300,,,,,,,,,
1.561,0.29193440079689026,0.0001966628989719576,0.05005449481290114,310,,,,,,,,,
1.5976,0.24825511872768402,0.00019655525055169815,0.05166915593589795,320,,,,,,,,,
1.5863,0.2621520757675171,0.00019644760213143874,0.05328381705889476,330,,,,,,,,,
1.6205,0.29025691747665405,0.0001963399537111793,0.05489847818189158,340,,,,,,,,,
1.6301,0.26199111342430115,0.00019623230529091986,0.05651313930488839,350,,,,,,,,,
1.6566,0.29047560691833496,0.00019612465687066045,0.0581278004278852,360,,,,,,,,,
1.5494,0.25279998779296875,0.00019601700845040101,0.05974246155088201,370,,,,,,,,,
1.5676,0.25906136631965637,0.00019590936003014157,0.06135712267387882,380,,,,,,,,,
1.5719,0.2443532943725586,0.00019580171160988214,0.06297178379687562,390,,,,,,,,,
1.6112,0.25319743156433105,0.00019569406318962272,0.06458644491987243,400,,,,,,,,,
1.59,0.24589987099170685,0.00019558641476936329,0.06620110604286926,410,,,,,,,,,
1.6529,0.2921501398086548,0.00019547876634910382,0.06781576716586607,420,,,,,,,,,
1.575,0.2635752260684967,0.00019537111792884438,0.06943042828886288,430,,,,,,,,,
1.6375,0.2892281711101532,0.00019526346950858497,0.07104508941185969,440,,,,,,,,,
1.6604,0.2563043236732483,0.00019515582108832553,0.0726597505348565,450,,,,,,,,,
1.5338,0.25264596939086914,0.0001950481726680661,0.07427441165785331,460,,,,,,,,,
1.6737,0.26057344675064087,0.00019494052424780668,0.07588907278085012,470,,,,,,,,,
1.6514,0.25815486907958984,0.00019483287582754724,0.07750373390384693,480,,,,,,,,,
1.5575,0.24148166179656982,0.0001947252274072878,0.07911839502684374,490,,,,,,,,,
1.6063,0.2569093108177185,0.00019461757898702836,0.08073305614984055,500,,,,,,,,,
1.5207,0.24187415838241577,0.00019450993056676895,0.08234771727283736,510,,,,,,,,,
1.5707,0.27878284454345703,0.0001944022821465095,0.08396237839583418,520,,,,,,,,,
1.5745,0.24685367941856384,0.00019429463372625007,0.08557703951883099,530,,,,,,,,,
1.5834,0.24835683405399323,0.00019418698530599063,0.0871917006418278,540,,,,,,,,,
1.6111,0.264535516500473,0.00019407933688573122,0.0888063617648246,550,,,,,,,,,
1.5995,0.24956461787223816,0.00019397168846547178,0.09042102288782142,560,,,,,,,,,
1.5477,0.24979980289936066,0.00019386404004521234,0.09203568401081823,570,,,,,,,,,
1.5859,0.2695932984352112,0.0001937563916249529,0.09365034513381504,580,,,,,,,,,
1.5893,0.24454273283481598,0.0001936487432046935,0.09526500625681185,590,,,,,,,,,
1.5896,0.25269651412963867,0.00019354109478443405,0.09687966737980866,600,,,,,,,,,
1.5389,0.2586440443992615,0.00019343344636417462,0.09849432850280547,610,,,,,,,,,
